patternName,concurrency,memorySize,averageRps,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
highwave20,2,2752.0,3.92,6462.3625,4755,1,2009.47898,2404.6,4.13,7.67500798991,15.298
kill15,2,2496.0,3.1,3505.36875,2815,1,1282.24451,1438.1,3.2,7.61012038352,15.166
medwave20,8,1216.0,7.39,10153.3625,9102,7,8285.3493,8550.2,8.28,7.75133977385,17.555
ramp20,20,2496.0,10.28,16009.9875,12478,22,5871.91431,6568.2,11.89,7.80808112,15.846
debug1,30,1216.0,4.13,1072.075,283,29,893.91806,902.8,4.13,8.98649679487,15.19
highwave20,40,2496.0,9.35,15154.9125,11368,39,5554.02207,6217.4,11.88,7.79921749803,16.028
kill15,40,1472.0,4.59,5870.03125,4243,39,3820.11819,4083.5,4.73,7.70580266231,15.257
kill15,40,1728.0,4.62,5952.99375,4262,39,3250.20741,3527.7,4.75,7.9109144385,16.178
ramp20,10,2240.0,10.27,14558.03125,12479,9,6338.03755,6655.1,11.88,7.82950904869,17.628
debug1,10,2496.0,5.42,705.9,339,9,271.92212,289.6,5.43,8.18763218391,15.11
high15,40,1472.0,11.23,12890.35,10335,39,8332.12586,8967.2,11.83,7.87653402738,15.982
debug1,4,1984.0,4.5,398.93125,274,3,192.52094,205.9,4.5,7.93855234657,15.191
debug1,10,2752.0,5.5,761.6375,346,9,258.53869,283.4,5.5,8.01212112676,15.116
ramp20,20,1984.0,10.25,15071.61875,12477,19,7150.52811,7778.9,11.86,7.81568237836,15.308
kill15,15,2240.0,4.64,5276.6875,4237,14,2293.69158,2412.2,4.75,7.73123923783,15.64
med15,15,2496.0,9.15,10689.4125,8342,14,3948.4164,4385.4,9.51,7.93188044519,15.314
highwave20,15,1728.0,9.24,13752.61875,11281,15,7415.46582,8149.7,11.83,7.93580108003,15.603
highwave20,4,1472.0,4.66,6689.55,5703,3,4338.07469,4653.6,4.93,7.69153873116,17.423
high15,10,1728.0,11.28,12454.7625,10299,9,6673.15909,7380.6,11.83,7.8450362825,15.52
ramp20,4,1984.0,6.27,9026.8125,7619,3,4300.42353,4659.0,6.63,7.70852768302,15.271
debug1,8,2496.0,5.45,623.025,332,7,236.59236,255.6,5.45,7.98348082596,15.256
highwave20,-1,3008.0,9.37,16907.36875,11434,87,5405.15004,5755.7,11.89,7.92937982814,15.266
ramp20,6,2240.0,9.57,13576.28125,11625,5,5857.4436,6206.3,10.46,7.68187807395,15.216
kill15,40,2752.0,4.67,6621.19375,4279,39,2232.15952,2463.7,4.76,7.82023853636,17.748
high15,8,2752.0,11.35,13502.0,10324,7,4318.8737,5024.0,11.89,7.84077146452,15.922
high15,6,1216.0,5.94,6280.33125,5529,6,5096.17259,5288.7,6.28,7.81544679313,15.285
ramp20,2,1472.0,2.41,3433.75625,2958,1,2210.70221,2388.7,2.51,7.74277796553,15.286
medwave20,2,2496.0,3.59,5427.58125,4362,1,2003.24225,2226.7,3.76,7.69583887234,15.171
medwave20,10,3008.0,8.19,12250.25625,9920,9,3897.15494,4170.3,9.49,7.94967740961,15.287
ramp20,-1,1472.0,10.05,18136.79375,12558,141,11833.63049,12616.9,11.73,8.03843436491,15.447
high15,-1,2752.0,11.38,16396.70625,10416,92,5433.26264,6101.1,11.91,7.76642434336,15.555
medwave20,10,1728.0,8.11,11968.25625,9887,9,6414.23928,7092.3,9.49,7.90568441795,15.399
high15,6,1472.0,7.12,7684.0125,6535,5,4953.3281,5345.4,7.4,7.82999678899,15.273
medwave20,4,3008.0,7.88,11680.38125,9541,4,3697.13291,3976.3,9.24,7.73811084337,15.209
ramp20,-1,2752.0,10.3,19270.18125,12564,90,6303.57662,7170.3,11.88,7.82309775565,20.647
med15,-1,2752.0,9.17,13775.5875,8419,89,4574.22459,5125.8,9.53,7.85702197931,18.001
ramp20,2,1216.0,2.01,2797.63125,2492,2,2277.77084,2355.9,2.13,7.68128428228,15.247
kill15,40,2496.0,4.65,6475.95,4269,39,2424.67012,2656.8,4.76,7.7094045961,15.253
ramp20,10,2752.0,10.3,16472.225,12489,9,5246.87775,6129.2,11.91,7.78849943991,15.326
kill15,15,3008.0,4.68,5690.525,4268,15,1814.42362,1937.2,4.76,8.07561008639,15.33
high15,4,3008.0,8.9,9860.30625,8084,3,3127.1918,3356.7,9.28,7.653393471,15.326
kill15,10,3008.0,4.67,5446.41875,4253,9,1733.44863,1854.1,4.75,7.95653613327,16.139
high15,20,3008.0,11.39,13124.1625,10358,20,4149.10377,4467.8,11.89,7.88910840239,16.128
kill15,4,3008.0,4.67,5243.14375,4242,3,1664.4743,1784.9,4.76,8.10122332155,15.289
ramp20,10,3008.0,10.32,15376.6375,12495,9,4883.72918,5234.6,11.89,7.89426335573,15.213
highwave20,15,3008.0,9.38,14221.31875,11377,16,4512.85216,4841.3,11.91,7.93883691741,15.275
med15,6,1216.0,5.85,6122.9875,5451,6,5000.92103,5156.2,6.16,7.66210775151,18.13
debug1,-1,2752.0,5.58,3728.90625,425,92,1359.41001,1387.5,5.58,7.87221856867,15.208
medwave20,40,1472.0,8.08,12408.35625,9902,39,7995.06683,8631.9,9.43,7.82931988734,15.345
kill15,2,2240.0,3.08,3241.0,2811,1,1414.12221,1481.6,3.16,7.58991145092,15.164
kill15,-1,1216.0,4.52,6414.99375,4250,67,5265.36658,5402.1,4.7,8.12918554552,15.344
med15,4,3008.0,8.78,9682.5875,7973,3,3056.02924,3296.2,9.21,7.60078109328,15.319
high15,30,1216.0,11.14,12065.95,10293,29,9840.6303,10160.8,11.73,7.87850271265,15.544
med15,20,3008.0,9.19,10678.69375,8356,19,3390.2466,3635.3,9.51,7.94322483582,15.213
debug1,4,2496.0,5.33,491.8875,324,3,184.57865,201.8,5.34,7.80188379205,15.071
debug1,10,1984.0,5.23,613.99375,326,9,300.12418,316.9,5.23,8.22628059701,15.248
high15,30,3008.0,11.36,13515.4375,10348,29,4294.90173,4601.0,11.91,8.0491303845,15.269
medwave20,15,1984.0,8.12,11973.55625,9906,15,5691.9678,6179.9,9.48,7.82464761617,15.323
high15,40,2496.0,11.36,13931.775,10359,40,5132.85228,5715.6,11.88,7.80166775652,15.192
