patternName,concurrency,memorySize,averageRps,rpsScore,totalComputeTime,requests,coldstarts,duration,billedDuration,maxRps,avgDelay,maxDelay
med15,15,2752.0,9.16,0.9,11466.4875,8359,14,3640.68476,4266.6,9.51,7.76621844022,16.926
ramp20,7,1984.0,9.99,0.84,14370.63125,12144,6,6812.52437,7417.1,11.29,7.76449860082,18.488
med15,4,2496.0,7.28,0.23,8269.21875,6634,4,3031.53269,3392.5,7.58,7.68759882495,15.264
kill15,12,1472.0,4.57,0.95,5165.94375,4221,11,3337.29827,3593.7,4.71,7.70572471645,15.204
high15,13,2240.0,11.36,0.96,12148.9375,10358,12,5292.47191,5553.8,11.89,7.84438003857,16.362
ramp20,16,1472.0,7.53,0.13,15051.05625,12133,42,9779.72161,10470.3,10.83,8.29276895277,16.369
med15,12,1216.0,8.92,0.81,9552.36875,8283,11,7712.66865,8044.1,9.34,7.80945623342,16.063
highwave20,2,2496.0,3.67,0.06,5535.5625,4470,1,2051.6658,2271.0,3.93,7.64840684411,15.158
kill15,6,2496.0,4.65,0.97,5348.3625,4238,5,1963.70784,2194.2,4.76,7.67263068584,15.738
med15,7,1472.0,7.96,0.47,8499.65,7302,6,5474.37436,5912.8,8.31,7.69069430761,15.255
ramp20,5,2752.0,9.71,0.76,15060.75,11771,4,4862.35055,5604.0,10.71,7.67045690021,15.808
kill15,11,1728.0,4.6,0.96,5274.95625,4220,10,2849.8795,3125.9,4.73,7.87133735225,15.486
kill15,2,2240.0,3.1,0.65,3338.34375,2825,1,1427.99744,1526.1,3.16,7.55484571833,15.121
highwave20,12,1216.0,9.03,0.91,12492.025,11214,11,10175.05846,10519.6,11.66,7.86822663697,17.593
high15,9,1728.0,11.2,0.94,12326.5125,10244,8,6619.66161,7304.6,11.74,7.79747171284,15.893
med15,7,1216.0,6.93,0.1,7244.225,6405,6,5879.47633,6100.4,7.23,7.60995991265,20.224
med15,12,1472.0,9.04,0.86,9874.04375,8305,11,6383.0064,6868.9,9.43,7.90125637326,15.935
med15,14,3008.0,9.18,0.91,10595.85625,8361,14,3374.59419,3607.1,9.51,7.83920835821,15.632
high15,10,1984.0,11.31,0.96,12305.64375,10320,9,5824.37932,6351.3,11.83,7.90687685158,16.835
med15,2,2496.0,3.71,-0.3,4177.875,3381,1,1546.06906,1714.0,3.79,7.69984654051,15.364
ramp20,16,1728.0,10.2,0.9,15206.90625,12447,16,8188.0321,9011.5,11.83,7.83916512878,15.772
ramp20,8,1984.0,10.17,0.89,14717.44375,12389,8,6995.3515,7596.1,11.83,7.77529474873,16.166
highwave20,14,1984.0,9.3,0.95,13569.66875,11322,13,6468.39292,7003.7,11.84,7.77235915307,16.053
high15,3,1472.0,3.61,0.04,3886.85625,3313,2,2513.92371,2703.9,3.76,7.72661538462,16.085
high15,14,2240.0,11.35,0.96,12229.0,10344,13,5330.27846,5590.4,11.86,7.80472337549,15.392
ramp20,18,2240.0,10.26,0.91,14870.625,12471,18,6423.97956,6798.0,11.86,7.81852526223,16.108
high15,17,1728.0,11.3,0.95,12769.65,10338,19,6933.49139,7567.2,11.86,7.82577609346,16.246
med15,19,1472.0,9.04,0.86,10073.85625,8303,19,6541.2677,7007.9,9.46,7.8108334535,16.145
kill15,20,1216.0,4.52,0.94,5227.01875,4201,19,4210.77651,4401.7,4.7,7.90219194313,16.792
highwave20,11,2752.0,9.37,0.96,15037.90625,11366,10,4810.34712,5595.5,11.89,7.89296114627,15.319
med15,13,1472.0,9.04,0.86,9892.73125,8297,12,6417.03351,6881.9,9.46,7.87275616801,18.829
med15,12,3008.0,9.21,0.92,10498.33125,8374,11,3339.59461,3573.9,9.53,8.00393559928,15.337
highwave20,13,2496.0,9.33,0.96,14283.99375,11329,12,5234.45272,5860.1,11.91,7.83503377127,19.688
highwave20,15,1984.0,9.32,0.96,13695.99375,11340,16,6556.58084,7068.9,11.84,7.817043149,16.156
high15,20,2240.0,11.36,0.96,12529.34375,10352,19,5417.00582,5727.7,11.88,7.7710051104,15.386
med15,5,3008.0,9.15,0.9,10179.31875,8329,4,3223.11679,3465.3,9.53,7.81582599304,15.167
kill15,16,2752.0,4.67,0.97,6148.73125,4264,15,1955.1231,2287.9,4.76,7.73984505726,15.169
